titre_du_poste,compagnie,date_publication,ville,domaine,specialité,diplome_requis,annee_experience,type_contrat,competences,source_url
Spécialiste environnemental,Unite Technique d'Execution du Ministere de l'Economie et des Finances,6 Dec 2024,Port-au-Prince,Environnement et Sciences de la Terre,Environnement,Licence,5.0,CDI,"['Sens des responsabilités', 'Méthode et une grande capacité d’analyse et de synthèse', 'Respect des normes et des procédures', 'Bonne connaissance des outils informatiques de base', 'Bonne expression écrite et orale en français et en créole']",https://jobpaw.com/professionals/job-details?idj=16768
Project Assistant - Water & Sanitation,Organisation Internationale pour les Migrations,9 Dec 2024,Gonaives,Sciences de l’Ingénieur,Eau & Assainissement,Licence,3.0,CDD,"[""Expérience dans la mise en œuvre d'activités WASH"", ""Expérience dans la conception et la mise en œuvre d'infrastructures WASH"", 'Expérience de travail avec des populations vulnérables', 'Bon niveau de compétences analytiques', 'Excellentes compétences en communication']",https://jobpaw.com/professionals/job-details?idj=16769
Senior Project Associate - WASH,Organisation Internationale pour les Migrations,9 Dec 2024,Gonaives,Sciences de l’Ingénieur,Eau & Assainissement,Licence,5.0,CDD,"['Expérience supportant la gestion de projet et la mise en œuvre des activités WASH', ""Expérience dans la mise en œuvre d'infrastructures WASH"", 'Expérience à liaiser avec les autorités gouvernementales', 'Compétences analytiques fortes', 'Excellentes compétences en communication']",https://jobpaw.com/professionals/job-details?idj=16770
Full Time Social Worker,Chanje Movement,22 Jan 2025,Port-au-Prince,Sciences Humaines et Sociales,Service Social,Licence,,CDI,"['Written and spoken literacy in Kreyol, French and English with discipline specific vocabulary', 'Computer literacy with email, spreadsheet, document software and typing', 'Ability to maintain all documentation/files related to orphanage operation and authorization', 'Ability to collect and analyze data for effective monitoring and evaluation', 'Ensure safety of all children and follow Child Protection Plan']",https://jobpaw.com/professionals/job-details?idj=16771
Spécialiste en réseau informatique,Cowater International/Projet Appui à une Police Professionnelle et Inclusive,16 Dec 2024,Port-au-Prince,Sciences Informatiques,Réseau,Licence,3.0,CDD,"['Une licence ou un baccalauréat en informatique', 'Très bonne connaissance en ingénierie réseaux', 'Bonne expérience pratique du routage et de la communication', 'Connaissance du matériel informatique (serveurs, ordinateurs et logiciels)', 'Capacité de rédaction de rapport en français']",https://jobpaw.com/professionals/job-details?idj=16772
"Un (e) Agent de Suivi, Évaluation, Redevabilité et Apprentissage",WeltHungerHilfe (Agro Action Allemande),10 Dec 2024,Cap-Haitien,Sciences économiques et politiques,Statistiques,Non précisé,3.0,CDD,"['Bonne capacité de rédaction et de synthèse en français et en créole', 'Bonne capacité de communication orale', 'Connaissance des logiciels MS Office, notamment Word, Excel, Akvo flow serait un atout', ""Avoir l'esprit ouvert ainsi que la capacité de travailler sous pression et dans des conditions difficiles"", 'Bonne capacité à travailler en équipe']",https://jobpaw.com/professionals/job-details?idj=16773
Comptable,Arômes des Caraïbes S.A.,10 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,3.0,CDI,"['Très Bonne maitrise du logiciel Quickbooks', 'Maitrise des logiciels informatiques (Word, Excel, Powerpoint)', 'Excellentes capacités de communication verbales et écrites (créole, français, anglais)', 'Sens de l’organisation, responsabilité et autonomie', 'Rigueur et précision']",https://jobpaw.com/professionals/job-details?idj=16774
Officier(ère) des Ressources Humaines chargé(e) de recrutement,Heifer International Haiti,11 Dec 2024,Cap-Haitien,Agriculture – Agroalimentaire,Agronomie,Licence,4.0,CDI,"['Expérience dans la recherche des talents', 'Expérience dans la préparation des descriptions de tâches', 'Attitude exceptionnelle orientée vers la qualité', 'Capacité à influencer et à communiquer efficacement', 'Compréhension du marché du travail actuel en Haiti']",https://jobpaw.com/professionals/job-details?idj=16776
Assistant Pédagogique / Village integré,SOS Villages d'Enfants Haiti,6 Jan 2025,Croix-des-Bouquets,Sciences Humaines et Sociales,Sciences Humaines,Licence,5.0,CDI,"['Capacité de gérer les conflits', 'Capacité de gérer le stress', 'Compétences rédactionnelles', 'Capacité à travailler en équipe', 'Très bon communicateur']",https://jobpaw.com/professionals/job-details?idj=16777
Spécialiste en communication,MARNDR/Projet d'Agriculture Résiliente et de Sécurité Alimentaire,12 Dec 2024,Port-au-Prince,Communication et Journalisme,Communication,Licence,5.0,CDI,"['Capacités de synthèse', 'Analyse', 'Conceptualisation', 'Facilité de rédaction', 'Connaissance des méthodes']",https://jobpaw.com/professionals/job-details?idj=16778
Officier(ère) des ressources humaines (HRO),Haitian Education and Leadership Program,16 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion des Ressources Humaines,Licence,2.0,CDI,"Microsoft Office, Français, Créole, Anglais, Outlook",https://jobpaw.com/professionals/job-details?idj=16780
Chef d'Equipe Adjoint,Chemonics/Programme de Renouvellement et d'Avancement de la Justice,14 Jan 2025,Pétion-Ville,Droit,Administration judiciaire,Non précisé,7.0,CDI,"['Expérience dans des projets de développement financés par des bailleurs de fonds', ""Expérience de la contribution à la conception ou à la mise en œuvre de programmes de suivi et d'évaluation"", 'Expérience de la supervision de personnel administratif et technique', ""Expérience de travail dans le cadre de projets de l'USAID"", 'Solides compétences en matière de communication et de relations interpersonnelles']",https://jobpaw.com/professionals/job-details?idj=16781
Chef d'Equipe Adjoint,Chemonics/Programme de Renouvellement et d'Avancement de la Justice,16 Dec 2024,Port-au-Prince,Droit,Administration judiciaire,Master,7.0,CDI,"['Solides compétences en matière de communication', 'Relations interpersonnelles', 'Capacité à interagir de manière productive avec des organisations', 'Leadership', 'Polyvalence']",https://jobpaw.com/professionals/job-details?idj=16782
Directeur(trice) des Finances et des Opérations,Chemonics/Programme de Renouvellement et d'Avancement de la Justice,14 Jan 2025,Pétion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion Financière,Master,8.0,CDI,"['Compétences avancées en Excel', ""Connaissance approfondie des règles et règlements de l'USAID"", 'Souci du détail', 'Engagement avéré en faveur de pratiques éthiques et transparentes', 'Solides compétences interpersonnelles']",https://jobpaw.com/professionals/job-details?idj=16783
Gestionnaire des Finances,Chemonics/Programme de Renouvellement et d'Avancement de la Justice,21 Jan 2025,Pétion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,5.0,CDI,"['Gestion financière', 'Comptabilité', 'Établissement de rapports', 'Gestion de projet', 'Compétences interpersonnelles']",https://jobpaw.com/professionals/job-details?idj=16784
Gestionnaire des Subventions et des Achats,Chemonics/Programme de Renouvellement et d'Avancement de la Justice,16 Dec 2024,Petion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Passation de Marchés / Procurement,Licence,3.0,CDI,"[""Connaissance des règles et règlements de l'USAID relatifs à l'octroi et à l'administration des subventions"", 'Excellentes compétences en matière de relations interpersonnelles et de communication', 'Capacité à travailler de manière professionnelle et cordiale avec les autres membres du personnel', 'Capacité à travailler de manière autonome avec un minimum de supervision', ""Connaissance pratique démontrée de MS Word, MS Excel et d'autres applications informatiques de base""]",https://jobpaw.com/professionals/job-details?idj=16785
Senior Accountant,Research Triangle Institute / Act to End NTDs Project,16 Dec 2024,Petion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,5.0,CDI,"['Excellent connaissance des systèmes de comptabilité e.g., QuickBooks', 'Excellente connaissance de MS Word, Outlook, PowerPoint, Excel', 'Capacité à multitâcher et bien travailler avec les autres', 'Excellentes compétences en communication et rédaction en anglais', 'Attention aux détails et précision']",https://jobpaw.com/professionals/job-details?idj=16786
Comptable,Chemonics/Programme de Renouvellement et d'Avancement de la Justice,17 Dec 2024,Petion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,3.0,CDI,"['Excellentes compétences en communication écrite et orale', 'Maîtrise du français', 'Anglais préférable', 'Expérience professionnelle pertinente', 'Intérêt à travailler avec une équipe internationale']",https://jobpaw.com/professionals/job-details?idj=16787
Assistant(e) de bureau,Chemonics/Programme de Renouvellement et d'Avancement de la Justice,17 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Commerce,Non précisé,3.0,CDI,"['Compétences informatiques', 'Compétences en matière de relations interpersonnelles', 'Compétences en communication écrite', 'Compétences en communication orale', ""Expérience de travail dans des projets financés par l'USAID""]",https://jobpaw.com/professionals/job-details?idj=16788
Spécialiste de l'égalité de genre et de l'inclusion sociale (GESI),Chemonics/Programme de Renouvellement et d'Avancement de la Justice,14 Jan 2025,Pétion-ville,Sciences Humaines et Sociales,Sciences Sociales,Licence,6.0,CDI,"['Aptitude à travailler avec des partenaires coopérants', 'Expérience avérée de la gestion de priorités complexes', 'Respect des délais', ""Communication d'informations techniques complexes"", 'Maîtrise du français']",https://jobpaw.com/professionals/job-details?idj=16789
"Conseiller/Conseillère de suivi, de l'évaluation, et de l'apprentissage (MEL)",Chemonics/Programme de Renouvellement et d'Avancement de la Justice,14 Jan 2025,Pétion-ville,Sciences Humaines et Sociales,Sciences Sociales,Master,5.0,CDI,"[""Analyser et interpréter des données à l'aide d'Excel"", ""Conception d'outils et d'indicateurs de collecte de données"", 'Compétences avérées en matière de collecte de données qualitatives et quantitatives', ""Direction d'équipes dans les efforts de collecte et d'analyse de données"", 'Solides compétences en communication interpersonnelle']",https://jobpaw.com/professionals/job-details?idj=16790
Reporting and Grants Officer,Brown Consulting Group,27 Dec 2024,,Sciences Humaines et Sociales,Sciences Sociales,Licence,2.0,CDD,"['Excellentes compétences en rédaction, lecture et expression orale en anglais et en français', 'Connaissance avancée des applications MS Office', 'Capacité à prioriser des tâches concurrentes', ""Esprit d'initiative"", 'Souci du détail']",https://jobpaw.com/professionals/job-details?idj=16791
Directeur/Directrice Programme,ong,17 Dec 2024,Port-au-Prince,Santé et Professions médicales,Obstétrique Gynécologie,Master,5.0,CDI,"['Compétences supérieures en communication, verbale et écrite', 'Capacité prouvée à négocier et à travailler avec des organisations partenaires', 'Compétences solides en supervision budgétaire et financière', 'Succès en représentation et en collecte de fonds', 'Capacité établie à gérer les situations stressantes de manière saine et constructive']",https://jobpaw.com/professionals/job-details?idj=16792
Conseiller en education,Plan International,23 Dec 2024,Zone,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion des ONG,Master,5.0,CDD,"['Capacité à communiquer des concepts théoriques sur Education en termes simples', 'Des compétences en communication de haut niveau', ""Compétences en matière de négociation et d'influence"", 'Compétences en matière de facilitation', 'Aptitude à travailler efficacement avec des équipes diverses']",https://jobpaw.com/professionals/job-details?idj=16793
Enquêteur (trice),Organisation Internationale pour les Migrations,18 Dec 2024,Port-au-Prince,Sciences Humaines et Sociales,Sciences du Développement,Non précisé,,CDD,"['Excellentes compétences interpersonnelles et de communication', 'Bonne capacité à travailler en équipe', 'Être flexible et dynamique', None, None]",https://jobpaw.com/professionals/job-details?idj=16794
Wash Advisor,Plan International,11 Jan 2025,Nord'Est,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Master,5.0,CDD,"['programmation stratégique', 'coordination et gestion programmatique et financière des projets', 'conception et utilisation des outils de formation', 'recherche et élaboration des politiques', 'renforcement de capacités']",https://jobpaw.com/professionals/job-details?idj=16795
Expert en gestion de bases de données Excel,Cowater International/Projet Appui à une Police Professionnelle et Inclusive,18 Dec 2024,Port-au-Prince,Sciences Informatiques,Base de données,Non précisé,3.0,CDD,"['Certificat ou diplôme en informatique', 'Maitrise d’Excel', 'Bonne communication interpersonnelle', 'Capacité de communiquer des instructions et techniques, à des non informaticiens', 'Capacité de travailler de façon autonome et en équipe']",https://jobpaw.com/professionals/job-details?idj=16796
Directeur des Ressources Humaines,Banque de la République d'Haiti,20 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Finance et Banque,Non précisé,10.0,CDI,"['Définir la stratégie et la politique RH', 'Gérer la politique d’emploi', 'Piloter la politique de rémunération', 'Assurer la partie administrative RH', 'Prendre en charge le développement humain']",https://jobpaw.com/professionals/job-details?idj=16797
Remote Administrative Assistant - Customer Follow-Up,Centre de Formation et d'Encadrement Technique S.A.,19 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Non précisé,3.0,CDI,"['Excellent verbal and written communication skills', 'Strong ability to manage multiple tasks simultaneously', 'Proficient in Microsoft Office Suite', 'Familiar with CRM software', 'Strong problem-solving abilities']",https://jobpaw.com/professionals/job-details?idj=16798
Spécialiste Senior en Passation de Marchés,Fonds d'Assistance Economique et Sociale,19 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Passation de Marchés / Procurement,Licence,5.0,CDD,"['Maitrise des procédures des bailleurs de fonds', 'Compétences Linguistiques', 'Connaissance approfondie des normes et procédures de Passation de Marchés Publics', 'Compétences Techniques', 'Compétences Stratégiques et Relationnelles']",https://jobpaw.com/professionals/job-details?idj=16799
Assistant-Directeur des Ressources Humaines,Banque de la République d'Haiti,19 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Finance et Banque,Licence,8.0,CDI,"['Rigueur', 'Méthodologie', 'Organisation', 'Esprit d’initiative', 'Force de proposition']",https://jobpaw.com/professionals/job-details?idj=16800
Responsable Emploi,Banque de la République d'Haiti,19 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Finance et Banque,Non précisé,10.0,CDI,"['Grandes qualités relationnelles et intelligence émotionnelle', 'Fortes capacités en communication (écrite et orale)', 'Rigueur, méthodologie et organisation', 'Qualités de psychologie et de discernement', 'Intégrité et grand sens de la confidentialité']",https://jobpaw.com/professionals/job-details?idj=16801
Expert en régularisation des tarifs pour l'ANARSE,Unite Technique d'Execution du Ministere de l'Economie et des Finances,19 Dec 2024,Port-au-Prince,Sciences économiques et politiques,Economie,Master,3.0,CDI,"['Analyse des politiques tarifaires', 'Modélisation financière', 'Communication', 'Capacité à travailler de manière autonome', 'Capacité à travailler en équipe']",https://jobpaw.com/professionals/job-details?idj=16802
Responsable Analytique RH,Banque de la République d'Haiti,19 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Finance et Banque,Licence,10.0,CDI,"['Gouvernance RH', 'Gestion RH', 'Développement du Personnel', 'Santé au travail', 'Analytique RH']",https://jobpaw.com/professionals/job-details?idj=16803
Responsable Développement Du Personnel,Banque de la République d'Haiti,19 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Finance et Banque,Licence,10.0,CDI,"['Rigueur', 'Méthodologie', 'Organisation', 'Esprit d’initiative', 'Qualités relationnelles']",https://jobpaw.com/professionals/job-details?idj=16804
Délégué.e Gestion Administrative RH,Banque de la République d'Haiti,19 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Finance et Banque,Licence,7.0,CDI,"['Grandes qualités relationnelles', 'Intelligence émotionnelle', ""Sens de l'écoute"", 'Maîtrise de soi', 'Rigueur']",https://jobpaw.com/professionals/job-details?idj=16805
Délégué.e Relations Humaines,Banque de la République d'Haiti,19 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Finance et Banque,Licence,7.0,CDI,"['Sens de l’écoute', 'Maîtrise de soi', 'Goût pour les chiffres et l’analyse', 'Capacité en communication (écrite et orale)', 'Rigueur']",https://jobpaw.com/professionals/job-details?idj=16806
Officier Évaluation et Compétences,Banque de la République d'Haiti,19 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Finance et Banque,Licence,0.0,CDI,"['Rigueur', 'Méthodologie', 'Organisation', 'Capacité en communication (écrite et orale)', 'Intelligence émotionnelle']",https://jobpaw.com/professionals/job-details?idj=16807
Officier Gestion administrative RH,Banque de la République d'Haiti,19 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Finance et Banque,Licence,3.0,CDI,"['Rigueur', 'Méthodologie', 'Organisation', ""Sens de l'écoute"", 'Capacités en communication']",https://jobpaw.com/professionals/job-details?idj=16808
Responsable Gestion RH,Banque de la République d'Haiti,20 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Finance et Banque,Licence,10.0,CDI,"['Gestion de la politique de rémunération', 'Réalisation du payroll', 'Gestion des avantages sociaux', 'Gestion des politiques de gestion administrative RH', 'Gestion administrative des sanctions']",https://jobpaw.com/professionals/job-details?idj=16809
Administrateur,Fondazione CESVI Onlus,21 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion des ONG,,2.0,CDD,"['Maitrise du Pack Office (Word, Excel, Powerpoint, Publisher)', 'Autonomie', 'Esprit d’équipe', 'Souplesse', 'Capacité de travailler sous pression']",https://jobpaw.com/professionals/job-details?idj=16810
Haiti Public Relations Officer,"The Vitamin Angels Alliance, Inc. (VA)",23 Dec 2024,Port-au-Prince,Santé et Professions médicales,Anesthésiologie,Licence,2.0,CDD,"['Fluent in French and Haitian Kreyol', 'Computer literacy and technologically-savvy', 'Superior written and oral communications skills', 'Superior organizational skills', 'Attention to detail']",https://jobpaw.com/professionals/job-details?idj=16811
Comptable de projet,ong,30 Dec 2024,Cap-Haitien,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,5.0,CDD,"['Maîtrise suite Office de Microsoft (principalement Excel)', 'Connaissance du logiciel de comptabilité d’entreprises cloud « NetSuite »', 'Aptitude à travailler sous pression, et à respecter les délais', 'Capacité à rédiger des rapports et des modules de formation en français et en créole', 'Bonne capacité à travailler en équipe']",https://jobpaw.com/professionals/job-details?idj=16812
Chef de Base (1 Jérémie et 1 Miragoane),Mercy Corps Haiti,26 Dec 2024,"Jérémie, Miragoane","Management/Gestion, Finance, Comptabilité et Commerce",Gestion des ONG,Licence,5.0,CDI,"['Gestion des programmes', 'Opérations (logistique, achats, assets)', 'Planification', 'Compétences interpersonnelles', 'Résolution de problèmes']",https://jobpaw.com/professionals/job-details?idj=16813
Deputy Finance & Compliance Manager,Mercy Corps Haiti,24 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion Financière,Licence,4.0,CDI,"['Connaissance des règles des bailleurs de fonds en l’occurrence USAID', 'Excellentes compétences d’utilisation de MS Office programmes et en particulier du tableau Excel', 'Exactitude dans le traitement des transactions en espèces', 'Excellentes aptitudes en mathématiques', 'Excellente attention aux détails']",https://jobpaw.com/professionals/job-details?idj=16814
Animateur/trice du volet Santé-Nutrition du projet d’amélioration de la sécurité alimentaire et nutr,Groupe de Recherche et d'Echanges Technologiques,26 Dec 2024,Gros Morne,Santé et Professions médicales,Sciences Infirmières,Licence,5.0,CDD,"['Capacité à mener des actions dans un contexte social complexe', 'Capacité établie à gérer les situations stressantes de manière saine et constructive', 'Rigueur, sérieux, ponctualité, calme, flexibilité', 'Capacité à travailler sous pression et en respectant les échéances', 'Capacité de rédaction, de reporting, d’analyse et de synthèse']",https://jobpaw.com/professionals/job-details?idj=16815
Animateurs/trices du volet Agriculture du projet d’amélioration de la sécurité alimentaire et nutrit,Groupe de Recherche et d'Echanges Technologiques,26 Dec 2024,Gros Morne,Agriculture – Agroalimentaire,Agronomie,Non précisé,3.0,CDD,"['Compétences dans le développement agricole', 'Promotion de l’agroécologie', 'Gestion des périmètres irrigués', 'Aménagement et gestion des versants', 'Animation communautaire']",https://jobpaw.com/professionals/job-details?idj=16816
Program Support Manager,Plan International,10 Jan 2025,Port-au-prince avec Voyage en province,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,,5.0,CDD,"[""Facilitation démontrée et l'écoute active"", 'Expérience confirmée en tant que professionnel dans la planification du développement', ""Compétences en gestion évaluation de l'impact avec la participation des bénéficiaires"", 'La gestion éprouvée des équipes efficaces surtout dans la gestion du changement', ""Capable d'identifier et de gérer les risques pour l'organisation""]",https://jobpaw.com/professionals/job-details?idj=16817
Procurement Officer (Officier aux Achats),Mercy Corps Haiti,28 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Passation de Marchés / Procurement,,2.0,CDI,"['Solides compétences organisationnelles', 'Capacité à interagir efficacement avec le personnel international et national', 'Excellentes compétences en Français', 'Connaissance de l’anglais est un atout', 'Grandes compétences informatiques sur les programmes MS Office, en particulier sur MS Excel']",https://jobpaw.com/professionals/job-details?idj=16818
"Coordonnateur PSEAR (Planification, Suivi, Évaluation, Apprentissage et Redevabilité)",ong,31 Dec 2024,Petion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion de Projets,Master,5.0,CDD,"['Compétences avancées en Microsoft Office 365', ""Aptitude pour les logiciels d'analyse de données comme R, Python, SPSS, ou Stata"", 'Expertise dans la création de visualisations de données', 'Gestion de bases de données', 'Capacité de mener des formations et des présentations en divers contextes culturels']",https://jobpaw.com/professionals/job-details?idj=16819
Officier de Promotion d’Hygiène et de Mobilisation Communautaire,ong,31 Dec 2024,Petion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion de Projets,Non précisé,3.0,CDD,"['Capacité à planifier et faciliter des formations dans les domaines requis par la position', ""Expérience et compréhension de la Promotion de l'hygiène et la mobilisation de la communauté en ce qui concerne les activités eau et assainissement"", 'Bonne connaissance des approches de promotion à l’hygiène (EAHMS, PHAST, ACAT, SBC etc.…)', 'Expérience dans la conduite d’enquête CAP', 'Expérience de travail dans des projets WASH en milieu scolaire']",https://jobpaw.com/professionals/job-details?idj=16820
Logistics and Administrative Officer,Plan International,31 Dec 2024,Gonaives,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,2.0,CDD,"['Excellente capacité organisationnelle', 'Interpersonnelle', 'Communication', 'Flexible', 'Honnête']",https://jobpaw.com/professionals/job-details?idj=16821
Analiste de risques Financiers,Sevis Finansye Fonkoze S.A.,31 Dec 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,,CDI,"['Expérience ou formation en gestion des risques financiers', 'Bonne maîtrise des outils d’analyse et des logiciels comme Excel', 'Capacité à évaluer les risques liés aux transactions financières', 'Proposer des mesures d’atténuation']",https://jobpaw.com/professionals/job-details?idj=16822
Officier des Subventions,Land O Lakes,31 Dec 2024,Cap-Haitien,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion Financière,Licence,2.0,CDI,"['Expérience dans les systèmes de gestion des documents numériques', 'Compréhension avérée des fonctions de conformité, de finance ou de comptabilité', ""Le souci du détail et le sens de l'organisation"", 'Capacité à travailler de manière indépendante', 'Excellentes compétences en matière de relations interpersonnelles et de communication']",https://jobpaw.com/professionals/job-details?idj=16823
Travailleur Social,Médecins du Monde Canada,3 Jan 2025,Port-au-Prince,Sciences Humaines et Sociales,Service Social,Non précisé,3.0,CDD,"['Diplôme en travail social, ou domaine connexe en sciences humaines et sociales.', ""Expérience d'au moins 3 ans dans un poste similaire, de préférence dans un contexte humanitaire."", 'Compétences en évaluation des besoins psychosociaux et en fourniture de soutien psychologique.', 'Capacité à organiser et animer des séances de sensibilisation et de formation.', 'Excellentes compétences interpersonnelles et de communication.']",https://jobpaw.com/professionals/job-details?idj=16824
Program Manager - RELE,Mercy Corps Haiti,3 Jan 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion de Projets,Master,7.0,CDI,"['Gestion de projets', 'Communication écrite et verbale en français et en anglais', 'Développement de la capacité organisationnelle', 'Conception et pensée systémique', 'Innovation de solutions']",https://jobpaw.com/professionals/job-details?idj=16825
Coordonnateur/ trice Nationale de Comptabilité,SOS Villages d'Enfants Haiti,6 Jan 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,3.0,CDI,"['Connaissance des logiciels comptables', 'Connaissance en informatique', 'Capacité de communiquer clairement en français et en espagnol', 'Capacité de gestion de conflits', 'Capacité de gérer le stress']",https://jobpaw.com/professionals/job-details?idj=16826
Chef de cuisine,Paryaj Pam,6 Jan 2025,Port-au-Prince,"Tourisme, Hôtellerie et Restauration",Cuisine,Non précisé,2.0,CDI,"['Intérêt pour la cuisine', 'Rigueur et professionnalisme', 'Excellente gestion des priorités (planification et organisation du travail)', 'Leadership', 'Sens de l’initiative']",https://jobpaw.com/professionals/job-details?idj=16827
Human Resources Officer,International Committee of Red Cross / Comite International de la Croix-Rouge,6 Jan 2025,Petion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion des Ressources Humaines,Licence,3.0,CDD,"[""Maîtrise du français et de l'anglais (Parlé et écrit)"", 'Capacité à intégrer et mettre en œuvre les politiques et procédures RH', 'Capacité confirmée à travailler de manière autonome', 'Habilité de travailler sous pression avec de bonnes capacités de reporting et de communication écrite et orale', 'Expérience de travail dans une équipe multiculturelle']",https://jobpaw.com/professionals/job-details?idj=16828
Assistante Administration & Ressources Humaines,HELVETAS Swiss Intercooperation/Haiti,6 Jan 2025,Belle-Anse,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,2.0,CDD,"['Autonomie', 'Solutions', 'Travail en équipe multiculturelle', 'Connaissance du contexte en Haïti', 'Gestion des ressources']",https://jobpaw.com/professionals/job-details?idj=16829
Safety and Security Coordinator,Food for the Hungry,6 Jan 2025,Port-au-Prince,Sécurité,Sécurité,Non précisé,3.0,CDI,"['Working knowledge of threat assessments', 'risk mitigation', 'ability to work on acceptance strategy at all levels', 'Ability to work under high pressure', 'Highly organized and detail-oriented']",https://jobpaw.com/professionals/job-details?idj=16830
Analista de Marketing Digital,Industrias San Miguel,7 Jan 2025,Limonade,Marketing,Marketing,Licence,1.0,CDI,"['SEO', 'SEM', 'réseaux sociaux', 'marketing de contenus', 'Programmes Adobe Creative Suite']",https://jobpaw.com/professionals/job-details?idj=16831
Assistant PMEL,Parole & Action,7 Jan 2025,Delmas,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,2.0,CDD,"['Excellente maîtrise des outils Microsoft Power Point', 'Excellente maîtrise des outils Microsoft Word', 'Excellente maîtrise des outils Microsoft Excel', 'Solides compétences numériques', 'Bonnes compétences en rédaction de rapports']",https://jobpaw.com/professionals/job-details?idj=16832
Assistant PMEL,Parole & Action,7 Jan 2025,Delmas,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,2.0,CDD,"['Excellente maîtrise des outils Microsoft Power Point', 'Excellente maîtrise des outils Microsoft Word', 'Excellente maîtrise des outils Microsoft Excel', 'Solides compétences numériques', 'Bonnes compétences en rédaction de rapports']",https://jobpaw.com/professionals/job-details?idj=16833
Secrétaire Exécutif/ve,CARE Haiti,7 Jan 2025,Petion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion de Projets,Licence,3.0,CDD,"['Gestion de projet', ""Coordination d'équipe"", 'Compétences organisationnelles', 'Attention aux détails', 'Communication écrite et orale en français']",https://jobpaw.com/professionals/job-details?idj=16834
Directeur/trice exécutif/ve,FONHDAD,8 Jan 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Master,5.0,CDI,"['Développement de partenariat stratégique', 'Mobilisation de fonds', 'Gestion des ressources humaines', 'Gestion des ressources matérielles', 'Gestion des ressources financières']",https://jobpaw.com/professionals/job-details?idj=16836
Secrétaire de Direction,Parole & Action,1 Jan 2025,Delmas,Secrétariat,Secrétariat,Non précisé,5.0,CDD,"['Maîtriser parfaitement le français et l’anglais', 'Savoir hiérarchiser et classer des documents', 'Maîtriser l’informatique (Word, Excel, Powerpoint)', 'Être capable de rédiger en anglais, français et créole', 'Faire montre de convivialité, de discrétion et de confidentialité']",https://jobpaw.com/professionals/job-details?idj=16837
